FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.3080807,3080807,POINT (16.319343525924303 48.30869978103711),Klosterneuburg Josef-Brenner-Str.,Klosterneuburg Josef-Brenner-Str.,1,,2,https://anachb.vor.at#P|SQ!evaId|Klosterneuburg%20Josef-Brenner-Str.!start|1,
OEFFHALTESTOGD.3080808,3080808,POINT (16.118152424295403 48.37830115847449),Schmida Abzw. Hausleiten,Schmida Abzw. Hausleiten,"800, 842",,3,https://anachb.vor.at#P|SQ!evaId|Schmida%20Abzw.%20Hausleiten!start|1,
OEFFHALTESTOGD.3080809,3080809,POINT (16.329723555665446 48.29200928387236),Klosterneuburg Ubald-Kostersitz-Gasse,Klosterneuburg Ubald-Kostersitz-Gasse,"401, 2",,3,https://anachb.vor.at#P|SQ!evaId|Klosterneuburg%20Ubald-Kostersitz-Gasse!start|1,
OEFFHALTESTOGD.3080810,3080810,POINT (16.329683126352567 48.292009281613986),Klosterneuburg Ubald-Kostersitz-Gasse,Klosterneuburg Ubald-Kostersitz-Gasse,"401, 2",,2,https://anachb.vor.at#P|SQ!evaId|Klosterneuburg%20Ubald-Kostersitz-Gasse!start|1,
OEFFHALTESTOGD.3080811,3080811,POINT (16.513788418280807 48.37014981853647),Wolkersdorf Wirtschaftspark,Wolkersdorf Wirtschaftspark,516,,3,https://anachb.vor.at#P|SQ!evaId|Wolkersdorf%20Wirtschaftspark!start|1,
OEFFHALTESTOGD.3080812,3080812,POINT (16.58882464654778 48.28037699250546),Parbasdorf Ortsmitte,Parbasdorf Ortsmitte,554,,3,https://anachb.vor.at#P|SQ!evaId|Parbasdorf%20Ortsmitte!start|1,
OEFFHALTESTOGD.3080813,3080813,POINT (16.588743846216435 48.28025749233595),Parbasdorf Ortsmitte,Parbasdorf Ortsmitte,"554, 522",,3,https://anachb.vor.at#P|SQ!evaId|Parbasdorf%20Ortsmitte!start|1,
OEFFHALTESTOGD.3080814,3080814,POINT (16.580281664885486 48.30328619538799),Deutsch-Wagram Wilhelm-Busch-Gasse,Deutsch-Wagram Wilhelm-Busch-Gasse,522,,3,https://anachb.vor.at#P|SQ!evaId|Deutsch-Wagram%20Wilhelm-Busch-Gasse!start|1,
OEFFHALTESTOGD.3080815,3080815,POINT (16.246903425628112 48.01169088110811),Baden Neumistergasse,Baden Neumistergasse,C,,2,https://anachb.vor.at#P|SQ!evaId|Baden%20Neumistergasse!start|1,
OEFFHALTESTOGD.3080816,3080816,POINT (16.246005125349377 48.0130008814694),Baden Neumistergasse,Baden Neumistergasse,C,,2,https://anachb.vor.at#P|SQ!evaId|Baden%20Neumistergasse!start|1,
OEFFHALTESTOGD.3080817,3080817,POINT (16.640432820097534 48.24710367403572),Glinzendorf Kirche,Glinzendorf Kirche,"554, 551",,3,https://anachb.vor.at#P|SQ!evaId|Glinzendorf%20Kirche!start|1,
OEFFHALTESTOGD.3080818,3080818,POINT (16.563896319367878 48.11990500128107),Flughafen Wien Busterminal,Flughafen Wien Busterminal,"221, 273, X96, 222",,3,https://anachb.vor.at#P|SQ!evaId|Flughafen%20Wien%20Busterminal!start|1,
OEFFHALTESTOGD.3080819,3080819,POINT (16.563626819077538 48.11992300106826),Flughafen Wien Busterminal,Flughafen Wien Busterminal,VAL 1,,3,https://anachb.vor.at#P|SQ!evaId|Flughafen%20Wien%20Busterminal!start|1,
OEFFHALTESTOGD.3080820,3080820,POINT (16.563276420216543 48.11997090119725),Flughafen Wien Busterminal,Flughafen Wien Busterminal,VAL 2,,3,https://anachb.vor.at#P|SQ!evaId|Flughafen%20Wien%20Busterminal!start|1,
OEFFHALTESTOGD.3080821,3080821,POINT (16.108648150124754 48.28495626186389),Katzelsdorf am Wienerwald Hauptplatz,Katzelsdorf am Wienerwald Hauptplatz,"411, 449, 441",,3,https://anachb.vor.at#P|SQ!evaId|Katzelsdorf%20am%20Wienerwald%20Hauptplatz!start|1,
OEFFHALTESTOGD.3080822,3080822,POINT (16.27914846878882 48.30904630172201),Kierling Falbgasse,Kierling Falbgasse,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Falbgasse!start|1,
OEFFHALTESTOGD.3080823,3080823,POINT (16.27995696892884 48.308849200962584),Kierling Falbgasse,Kierling Falbgasse,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Falbgasse!start|1,
OEFFHALTESTOGD.3080824,3080824,POINT (16.27679486948077 48.30956020279773),Kierling Grüntal,Kierling Grüntal,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Grüntal!start|1,
OEFFHALTESTOGD.3080825,3080825,POINT (16.277360769192462 48.309028401728995),Kierling Grüntal,Kierling Grüntal,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Grüntal!start|1,
OEFFHALTESTOGD.3080826,3080826,POINT (16.286802068299277 48.307164199109664),Kierling Hauptstraße,Kierling Hauptstraße,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Hauptstraße!start|1,
OEFFHALTESTOGD.3080827,3080827,POINT (16.285176167623035 48.30777969963193),Kierling Hauptstraße,Kierling Hauptstraße,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Hauptstraße!start|1,
OEFFHALTESTOGD.3080828,3080828,POINT (16.26697626835743 48.3084010059055),Kierling Lenaugasse,Kierling Lenaugasse,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Lenaugasse!start|1,
OEFFHALTESTOGD.3080829,3080829,POINT (16.268117168637602 48.308556405547414),Kierling Lenaugasse,Kierling Lenaugasse,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Lenaugasse!start|1,
OEFFHALTESTOGD.3080830,3080830,POINT (16.262179268843184 48.30798280752634),Kierling Schuberthöhe,Kierling Schuberthöhe,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Schuberthöhe!start|1,
OEFFHALTESTOGD.3080831,3080831,POINT (16.262906868093214 48.307785607263234),Kierling Schuberthöhe,Kierling Schuberthöhe,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Schuberthöhe!start|1,
OEFFHALTESTOGD.3080832,3080832,POINT (16.272159569749892 48.30908820396914),Kierling Volksschule,Kierling Volksschule,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Volksschule!start|1,
OEFFHALTESTOGD.3080833,3080833,POINT (16.273650769525382 48.308891003601985),Kierling Volksschule,Kierling Volksschule,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Volksschule!start|1,
OEFFHALTESTOGD.3080834,3080834,POINT (16.290754666888805 48.30588559767698),Kierling Stegleiten,Kierling Stegleiten,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Stegleiten!start|1,
OEFFHALTESTOGD.3080835,3080835,POINT (16.29156316707746 48.30561069714501),Kierling Stegleiten,Kierling Stegleiten,"400, 406, 404",,3,https://anachb.vor.at#P|SQ!evaId|Kierling%20Stegleiten!start|1,
OEFFHALTESTOGD.3080836,3080836,POINT (16.439286626102557 48.13270688077649),Kledering Bahnhof,Kledering Bahnhof,70A,,2,https://anachb.vor.at#P|SQ!evaId|Kledering%20Bahnhof!start|1,
OEFFHALTESTOGD.3080837,3080837,POINT (16.445471427983275 48.13091414260799),Kledering Gärtnergasse,Kledering Gärtnergasse,266,,3,https://anachb.vor.at#P|SQ!evaId|Kledering%20Gärtnergasse!start|1,
OEFFHALTESTOGD.3080838,3080838,POINT (16.444689828640747 48.13099214259679),Kledering Gärtnergasse,Kledering Gärtnergasse,266,,3,https://anachb.vor.at#P|SQ!evaId|Kledering%20Gärtnergasse!start|1,
OEFFHALTESTOGD.3080839,3080839,POINT (16.435589928887868 48.13206534624313),Kledering Kirche,Kledering Kirche,"70A, 266",,3,https://anachb.vor.at#P|SQ!evaId|Kledering%20Kirche!start|1,
